Title,wlyyy,nocor,xnmdg,xnmdg3,ewmdv,ewmdv5,Field17
For The Love Of Food  Oberkampf,,,"Mexican, Brazilian",,,,
1. ASPIC,MICHELIN,"1,079 reviews","French, European",$$$$,“You can’t miss ASPIC when in Paris”,“Excellent experience”,5.0
2. Origines,MICHELIN,91 reviews,"French, European",$$$$,“Great Meal”,“Great for a Business lunch or an evening...”,5.0
3. Boutary,MICHELIN,"1,289 reviews","French, Seafood",$$$$,“Flavourfull menu - great wine pairing”,“Expect greatness”,5.0
4. Bistrot Instinct,MICHELIN,250 reviews,"French, European",$$ - $$$,“Wonderful Restaurant”,“A small gem”,5.0
5. Pur' - Jean-Francois Rouquette,MICHELIN,"1,195 reviews","French, European",$$$$,“One of the top Ten Restaurants in Paris...”,“Exquisite food - impeccable service”,5.0
Golden Spoon,,33 reviews,"Mediterranean, Fusion",$$$$,“Coven covid only takeout but”,“Beautiful place 😍”,5.0
6. La Table de Colette,MICHELIN,518 reviews,"French, European",$$$$,“Fantastic family dinner”,“Delicious and unique dishes”,5.0
7. 114 Faubourg,MICHELIN,"1,790 reviews","French, European",$$$$,“Excellent food and service”,“A good one star restaurant”,4.5
8. Aux Enfants Gates,MICHELIN,508 reviews,Open Now,"French, European",“Amazing dinner!”,“Fantastic Restaurant!”,4.5
9. 24 Le Restaurant,MICHELIN,262 reviews,"French, European",$$$$,“Fabulous NYE Dinner”,“Great place to have a very nice dinner.”,5.0
10. Signature Montmartre,MICHELIN,399 reviews,"French, Asian",$$ - $$$,“Amazing kitchen”,“MAGNIFICENT”,5.0
Sushi Gozen,,136 reviews,"Japanese, Sushi",$$ - $$$,“One or even two notches above the rest”,“Perfect!”,4.0
11. Petit Boutary,MICHELIN,436 reviews,"French, European",$$$$,“Authentic high quality French restaurant”,“Food is very elegance and professional.”,5.0
12. Le Faham by Kelly Rangama,MICHELIN,115 reviews,"French, Healthy",$$$$,“Nice modern haute cuisine”,“Amazing food and surprising tastes.”,5.0
13. Pianovins,MICHELIN,158 reviews,"French, Healthy",$$$$,“Great menu of the day”,“Great food in an unpretentious intimate...”,5.0
14. Contraste,MICHELIN,137 reviews,"French, Healthy",$$$$,“What a surprise!”,“Perfect moment in a perfect place”,5.0
15. L'Innocence,MICHELIN,142 reviews,French,$$$$,“Beautiful and intimate”,“Wow!”,5.0
Assanabel,,109 reviews,"Lebanese, Mediterranean",$$ - $$$,“Amazing food!”,“Great food”,4.5
16. Alliance,MICHELIN,440 reviews,"French, Healthy",$$$$,“A wonderful lunch”,“Must have dinner in Paris”,5.0
17. Epicure,MICHELIN,"2,855 reviews","French, European",$$$$,“NicE!”,“HEAVENLY”,5.0
18. MoSuke,MICHELIN,114 reviews,"French, Japanese",$$$$,“Simply the restaurant of the moment”,“Fantastique !”,5.0
19. Kei Restaurant,MICHELIN,"1,045 reviews","French, Healthy",$$$$,“Le Rêve”,“Well deserved 3 stars”,5.0
20. L'Orangerie,MICHELIN,326 reviews,"French, European",$$$$,“Definition of perfection”,“The best 1 star meal - worth every every...”,5.0
B.Better,,8 reviews,"Cafe, International",$$ - $$$,“Finally a vegan eatery to up the game in...”,“Top”,5.0
21. Restaurant L'INITIAL,MICHELIN,460 reviews,"French, European",$$$$,“Excelent surprise.”,“best restaurant I've ever experienced”,5.0
22. Restaurant H,MICHELIN,495 reviews,"French, European",$$$$,“Very very special place”,“great dinner time”,5.0
23. L'Arcane,MICHELIN,339 reviews,"French, European",$$$$,“Stunning eating - talented chefs”,"“Second visit, it's taht good”",5.0
24. L'Archeste,MICHELIN,206 reviews,"French, European",$$$$,“Unique experience”,“Relax and enjoy”,5.0
25. Tadam Paris,MICHELIN,140 reviews,French,$$ - $$$,“Nice Evening”,“Just like home but waaaay better”,5.0
Le P'tit Bougnat,,331 reviews,Open Now,"French, European",“Wonderful salad”,“Unpretentous place for fabulous game in...”,3.5
26. Savarin la Table,MICHELIN,150 reviews,"French, Contemporary",$$$$,“One of our best dinners worldwide!”,“A new favorite”,5.0
27. L'Hommage,MICHELIN,271 reviews,"French, European",$$ - $$$,“What a great start to the Chinese New Year”,“A shining diamond of a restaurant”,4.5
28. Restaurant eels,MICHELIN,327 reviews,"French, European",$$$$,“A second visit a success”,“Family dinner in Paris”,4.5
29. Restaurant Biscotte,MICHELIN,217 reviews,"French, Healthy",$$ - $$$,“Amazing tasting menu”,“A-ma-zing”,5.0
30. Le Gabriel,MICHELIN,694 reviews,"French, European",$$$$,“An unforgettable experience”,“I had dinner here with five”,5.0
Achi,,17 reviews,"French, European",$$ - $$$,"“Inventive, original neo-bistrot cuisine”",“Restaurant qui fait l’unanimité des...”,4.5
Khajuraho,,119 reviews,"Indian, Bar",$$$$,“Still excellent”,“Amazing Indian Dining Experience--Not to...”,4.5
31. Le Cinq,MICHELIN,"2,245 reviews","French, European",$$$$,"“WOW WOW WOW WOW WOW.  EAT HERE, YES EAT...”",“Disappointing!”,4.5
32. Arnaud Nicolas,MICHELIN,320 reviews,"French, European",$$$$,"“Outstanding, creative bistro”",“Friendliest restaurant”,4.5
33. Les Canailles,MICHELIN,693 reviews,"French, European",$$ - $$$,"“Wonderful Restaurant, will go again when...”",“Great experience”,4.5
34. Restaurant Gastronomique Louis,MICHELIN,215 reviews,"French, European",$$$$,“La Cuisine Francaise!”,“Must visit when in paris”,4.5
35. Restaurant OXTE,MICHELIN,226 reviews,"French, Mexican",$$$$,“This restaurant is at the peak of lunch...”,"“Yes, there is fine dining Mexican fair in...”",4.5
Pizza Roma,,416 reviews,Open Now,"Italian, Pizza",“Yum”,“Good Italian Pizza”,3.5
36. L'Arome,MICHELIN,393 reviews,"French, European",$$$$,“Delicious and inventive”,“Absolutelly amazing”,4.5
37. le reciproque,MICHELIN,323 reviews,"French, European",$$ - $$$,“Fine a reasonable priced restaurant”,“Incredible”,4.5
38. Virtus,MICHELIN,324 reviews,"French, European",$$$$,“Good)))))”,“Just perfect!”,4.5
39. Sourire Le Restaurant,MICHELIN,389 reviews,"French, European",$$$$,“A relaxed and delicious evening with...”,“3rd anniversary”,4.5
40. Le 975,MICHELIN,285 reviews,"French, European",$$ - $$$,“Go here!”,“Gets better”,4.5
Le Cirque,,308 reviews,"French, Bar",$$ - $$$,“Something for everyone”,“very tasty”,4.0
41. Le Florimond,MICHELIN,"1,108 reviews","French, European",$$ - $$$,“Excellent as Always”,“Great Restaurant Experience”,4.5
42. Le Clos Y,MICHELIN,487 reviews,"French, Japanese",$$$$,“So creative So good”,“Ohishikatta”,4.5
43. Ze Kitchen Galerie,MICHELIN,"1,420 reviews","French, European",$$$$,“Excellent and different”,“Great meal and service in relaxed...”,4.5
44. Restaurant du Palais Royal,MICHELIN,515 reviews,"French, European",$$$$,"“Excellent restaurant for the food, and...”",“Great food”,4.5
45. Pleine Terre,MICHELIN,114 reviews,"French, European",$$$$,“Food and wine to Bott!”,“Faboulous delicious”,4.5
Amore da Francesca,,36 reviews,"Italian, Pizza",$$ - $$$,"“Great food, hidden gem”",“Pizza au Top !!”,5.0
46. Pages,MICHELIN,241 reviews,"French, Contemporary",$$$$,“Great gastronomy experience !”,“Lunch”,4.5
47. Pierre Gagnaire,MICHELIN,979 reviews,"French, European",$$$$,“A fantastic end to a lovely autumn...”,"“Everything is great, except me as a women...”",4.5
48. Tour d'Argent,MICHELIN,"2,374 reviews",French,$$$$,“Culinary Masterpiece”,“Excellence on steroids!”,4.5
49. L'Empreinte,MICHELIN,312 reviews,"French, European",$$ - $$$,“True neighborhood gem!”,"“Good food, good people!”",4.5
50. Les Tables d'Augustin,MICHELIN,179 reviews,"French, European",$$ - $$$,“Small but excellent hidden gem in Paris”,“A jewel of a restaurant with incredible...”,4.5
51. La Verriere Paris,MICHELIN,178 reviews,"French, Japanese",$$$$,"“A wonderful restaurant, in a hotel but...”",“Great Restaurant”,4.5
52. La Scene Theleme,MICHELIN,392 reviews,"Fusion, French",$$$$,“Amazing dinner - faultless food and...”,“29 of August 2021”,4.5
53. Neige d'ete,MICHELIN,308 reviews,"French, European",$$$$,“Not as expected”,“Excellent food and nice presentation”,4.5
54. La Grande Ourse,MICHELIN,284 reviews,"French, European",$$ - $$$,“Little jewel in 14th arrondissement”,“I just keep coming back….”,4.5
55. Substance,MICHELIN,260 reviews,"French, European",$$$$,“The best meal in Paris thus far”,"“Romantic, creative, unique”",4.5
Au Pavillon Paris,,228 reviews,Open Now,"French, Bar","“Great food, friendly staff, reasonable...”",“Paris brunch”,3.5
56. Etude,MICHELIN,343 reviews,French,$$$$,“Totally Amazing”,“Delicious!”,4.5
57. L'Envie du Jour,MICHELIN,521 reviews,"French, European",$$ - $$$,“It is always wonderful”,“So good we dined there twice”,4.5
58. Baffo,MICHELIN,460 reviews,"Italian, Mediterranean",$$ - $$$,“Amazing gluten free Italian-French...”,“Excellent Italian Cuisine in the Marais”,4.5
59. L'Accolade,MICHELIN,204 reviews,"French, European",$$ - $$$,“Delicious”,“Perfection!”,4.5
60. Bien Ficele,MICHELIN,243 reviews,"French, European",$$ - $$$,“A must have dinner”,“Perfect food and even better service”,4.5
Japanos Ramen Bar,,4 reviews,Japanese,,“Best Ramen in Paris”,“Great ramen”,5.0
61. Kitchen Galerie Bis,MICHELIN,671 reviews,"French, European",$$$$,“Wonderful experience”,“Wonderful new cuisine”,4.5
62. Restaurant L'Oseille,MICHELIN,271 reviews,"French, European",$$ - $$$,"“Great value, updated bistro menu...”",“Excellent food & service!”,4.5
63. Guy Savoy,MICHELIN,841 reviews,"French, European",$$$$,“Incredible”,“One of the best in Paris and elsewhere”,4.5
64. Le Taillevent,MICHELIN,972 reviews,"French, European",$$$$,“A legendary restaurant revisiting French...”,“Aventure for tastebuds”,4.5
65. Pottoka,MICHELIN,"1,264 reviews","French, European",$$ - $$$,“Pottoka is still rocking!”,“Good place for late night dinner”,4.5
66. Le Clarence,MICHELIN,266 reviews,"Diner, French",$$$$,“Fantastiv evening”,“Decadence on a plate”,4.5
67. Thai Spices,MICHELIN,571 reviews,Thai,$$ - $$$,“What a find!”,“Very friendly”,4.5
68. Les Climats,MICHELIN,837 reviews,"French, European",$$$$,“Still great”,“A Gourmet Temple of Burgundy”,4.5
69. La Table Du Caviste Bio,MICHELIN,150 reviews,"French, European",$$ - $$$,“Don’t hesitate ! Very recommended !”,“A nice place with great service and a...”,4.5
70. Alan Geaam Restaurant,MICHELIN,178 reviews,"French, European",$$$$,“What a gastronomic journey!”,“True artistry”,4.5
Kapunka Montparnasse,,82 reviews,"Asian, Thai",$$ - $$$,“Fresh and delicious! I will come here...”,“Surprisingly superb”,4.0
71. Au Bon Accueil,MICHELIN,974 reviews,"French, European",$$ - $$$,“Very nice place”,“Amazing lunch near the Eiffel tower”,4.5
72. Kitchen Terre,MICHELIN,236 reviews,European,$$ - $$$,“Great food and service”,“Exceeded high expectations”,4.5
73. Le Kigawa,MICHELIN,314 reviews,French,$$$$,“One of the besy”,“Excellent tasting menu”,4.5
74. Sur Mesure par Thierry Marx,MICHELIN,"1,021 reviews","French, European",$$$$,"“Modern, two michemin stars worth the...”",“A true original”,4.5
75. Pouliche,MICHELIN,229 reviews,"French, Gastropub",$$$$,“Spectacular New Years Brunch to start off...”,“Sunday lunch.”,4.5
Cafe Buci,,514 reviews,Open Now,"French, Bar",“FOR NIGHT LOVERS”,“Sunday perfection in Paris”,3.5
76. Les Papilles,MICHELIN,"2,242 reviews","French, European",$$ - $$$,“Just on point”,“Amazing!”,4.5
77. Le Concert de Cuisine,MICHELIN,256 reviews,"Japanese, Asian",$$$$,“A gem…..”,“Favorite restaurant”,4.5
78. Le Pre Catelan,MICHELIN,"1,113 reviews","French, European",$$$$,“Amazing”,“Very very special occasion place”,4.5
79. Ciasa Mia,MICHELIN,511 reviews,"Italian, European",$$$$,“Hallelujah”,“Wonderful Italian Restaurant!”,4.5
80. Racines Des Pres,MICHELIN,224 reviews,"French, European",$$$$,“Superb menu and daily specials for our...”,“This is a hidden gem in Paris! Must Eat!”,4.5
New Jawad Longchamp,,"2,616 reviews","Indian, Pakistani",$$ - $$$,“Indian food in Paris”,“Excellent restaurant!”,5.0
81. L'Apibo,MICHELIN,468 reviews,"French, European",$$$$,“Excellent experience and great wine...”,“Fantastic restaurant you really should...”,4.5
82. Sola,MICHELIN,783 reviews,"Fusion, Japanese",$$$$,“Superb!”,“Amazing Japenese food with a french...”,4.5
83. L'Antre Amis,MICHELIN,393 reviews,Open Now,"French, European",“Recomendation to everybody!”,“Great but a little crowded”,4.5
84. Les Enfants Rouges,MICHELIN,483 reviews,"French, European",$$ - $$$,“A place where you will return each time...”,"“Innovative, Delicious French-Japanese...”",4.5
85. Le Jourdain,MICHELIN,392 reviews,"French, Seafood",$$ - $$$,“Great value”,“Great experience!”,4.5
La Reserve Du Terroir,,275 reviews,"Wine Bar, Dining bars",$,“Best meal in Paris”,“Very good”,5.0
86. Restaurant Akrame,MICHELIN,587 reviews,"French, European",$$$$,“Best lunch in Paris”,“Akrame is hidden in a beautiful”,4.5
87. Qui Plume La Lune,MICHELIN,476 reviews,"French, European",$$$$,“Best experience in Paris!”,"“Inventive, elegant cuisine”",4.5
88. Auguste,MICHELIN,526 reviews,"French, European",$$$$,“His first visit to Auguste guarantees...”,“A place worth trying”,4.5
89. Mavrommatis,MICHELIN,457 reviews,"Mediterranean, European",$$$$,“Fantastic”,“A fantastic greek restaurant in Paris”,4.5
90. Restaurant David Toutain,MICHELIN,765 reviews,Open Now,"French, European",“Great special occasion dinner/lunch”,“Outstanding”,4.5
91. Le Casse Noix,MICHELIN,546 reviews,"French, European",$$ - $$$,“One of the best meals we had in Paris”,“A pure gem in Paris!”,4.5
92. Les Botanistes,MICHELIN,492 reviews,"French, European",$$ - $$$,“Most charming”,“Back again”,4.5
93. Accents Table Bourse,MICHELIN,182 reviews,"French, European",$$$$,"“A culinary voyage, one Michelin star”",“A food experience off the conventions”,4.5
94. Le Pavillon de la Grande Cascade,MICHELIN,"1,061 reviews","French, European",$$$$,“Honeymoon Dinner”,“C'est magnifique y'all!!”,4.5
95. Frederic Simonin,MICHELIN,412 reviews,"French, European",$$$$,“Paris”,“Great lunch”,4.5
Le Grand Corona,,,Open Now,French,,,
96. La Scene Par Stephanie Le Quellec,MICHELIN,124 reviews,"French, Healthy",$$$$,“La Scene”,“an experience really worth 2 stars”,4.5
97. Le Boudoir,MICHELIN,611 reviews,"French, European",$$$$,“✨”,“A French restaurant not to miss while in...”,4.5
98. Oka,MICHELIN,206 reviews,"Brazilian, Fusion",$$$$,“Interesting Franco Brazilian fusion...”,“Superb mix”,4.5
99. Le Baudelaire,MICHELIN,448 reviews,"French, European",$$$$,“Just Wonderful”,“Beautiful tea time”,4.5
100. Restaurant Pilgrim,MICHELIN,127 reviews,"French, European",$$$$,“Intimate and surprising restaurant with...”,"“Great evening, delicious meal”",4.5
101. Will,MICHELIN,335 reviews,"French, European",$$$$,“Excellent close to Gare de Lyon”,“Unique place”,4.5
102. Bistrotters,MICHELIN,"2,380 reviews","French, European",$$ - $$$,“Memorable birthday lunch”,“Great food;  great service.  Unique food...”,4.5
103. Pierre Sang on Gambey,MICHELIN,662 reviews,"Korean, French",$$$$,“Food and atmosphere to remember”,“Incredible experience!”,4.5
104. Korus,MICHELIN,161 reviews,"French, European",$$$$,“Relaxed Ambience. Creative edgy food.”,“Come before it becomes a Michelin...”,4.5
105. Nomicos (ex- Les Tablettes),MICHELIN,832 reviews,"French, European",$$$$,“One of the best restaurants I have ever...”,“Where amazing cuisine meet outstanding...”,4.5
106. Augustin Bistrot,MICHELIN,706 reviews,Open Now,"French, European","“Great value, great experience”",“Nice bistro nearby montparnasse”,4.5
107. Tomy & Co,MICHELIN,386 reviews,"French, European",$$$$,“Storytelling Through Gastronomy”,“Happening place in the 7th!”,4.5
108. L'Oiseau Blanc Restaurant,MICHELIN,"1,074 reviews","French, European",$$$$,“Excellent as always!!!”,"“Excellent food, service, wine list”",4.5
109. Neva Cuisine,MICHELIN,535 reviews,French,$$$$,“Wonderful dinner”,“Still going strong”,4.5
110. Caius,MICHELIN,508 reviews,"French, European",$$$$,“nice option for lunch”,“Not to be missed.”,4.5
111. Restaurant Le Meurice Alain Ducasse,MICHELIN,981 reviews,French,$$$$,“New Year dinner with a bang”,“Beautiful place and excellent cuisine”,4.5
112. Le Grand Restaurant Jean francois Piege,MICHELIN,406 reviews,French,$$$$,“A 2-star Michelin with the aspirations to...”,“Sweetbread!”,4.5
113. Le George,MICHELIN,655 reviews,"Mediterranean, Italian",$$$$,“Oh La La”,"“Exceptional food, decor, service”",4.5
114. Phillipe Excoffier,MICHELIN,455 reviews,Open Now,"French, European",“Outstanding experience”,"“Excellent food, wine & service!”",4.5
115. Alleno Paris,MICHELIN,838 reviews,"French, European",$$$$,“Simply outstanding and redefining 3 star...”,“Very Classy place”,4.5
Acai & You - Maubeuge (Paris 9),,61 reviews,Open Now,"Healthy, Brazilian",“Top class!”,“Great place for a good açaí bowl!”,4.5
116. Caffe Stern,MICHELIN,428 reviews,"Italian, European",$$$$,"“Amazing food, ignore negative reviews!”",“Delicious food in an unique setting”,4.5
117. Elmer,MICHELIN,331 reviews,"French, European",$$$$,“Excellent food and wine in relaxed...”,“Second visit more consistent; excellent...”,4.5
118. Les 110 de Taillevent,MICHELIN,"1,098 reviews","Gastropub, French",$$$$,“Notable for a Choice of 110 Wines by the...”,"“Super food, super wine selection by the...”",4.5
119. Le Pantruche,MICHELIN,547 reviews,"French, European",$$ - $$$,“Excellent restaurant!”,“Excellent food and great value”,4.5
120. Le Christine,MICHELIN,"1,264 reviews",French,$$$$,“New Year's Eve dinner!”,“Best restaurant we visited in 2 weeks”,4.5
121. Le Cornichon,MICHELIN,344 reviews,"French, European",$$ - $$$,“Stunning”,“A chef with experience and personality”,4.5
122. Le Violon d'Ingres,MICHELIN,"1,327 reviews","French, European",$$$$,“Delicious food - stunning service”,“Overpriced and snooty”,4.5
123. 20 Eiffel,MICHELIN,491 reviews,"French, European",$$ - $$$,“Exceptional Quality for the Price and the...”,“Near the Eiffel Tower”,4.5
124. Le Mazenay,MICHELIN,244 reviews,"French, European",$$ - $$$,"“Nice, unpretentious restaurant with great...”",“Treat yourself!”,4.5
125. Auberge Pyrenees Cevennes,MICHELIN,512 reviews,"French, European",$$ - $$$,“Old School French”,“Great service - good food”,4.5
New Balal,,393 reviews,"Indian, Healthy",$$ - $$$,“Top Class”,“Really good”,4.5
126. Il Carpaccio,MICHELIN,790 reviews,"Italian, Mediterranean",$$$$,“Best restaurant in Paris!”,“Exceptional”,4.5
127. Frenchie,MICHELIN,"1,313 reviews",French,$$$$,“Great”,“Exquisite Dining”,4.5
128. Helen,MICHELIN,257 reviews,"French, Seafood",$$$$,“Wonderful Seafood Dinner”,“Fantastic fish”,4.5
129. Chez Monsieur,MICHELIN,447 reviews,"French, European",$$ - $$$,“Classic Paris restaurant- strongly...”,“Fantastic”,4.5
130. Brasserie Bellanger,MICHELIN,231 reviews,Open Now,"French, Bar",“good food”,“French dinner in a nice atmosphere”,4.5
Hwarang Restaurant Coreen,,83 reviews,Open Now,"Barbecue, Asian","“Great food, service & ambiance”",“Great Asian BBQ”,4.0
131. Anicia,MICHELIN,276 reviews,Open Now,"French, European",“Why this is not in the top”,“A delight in every way!”,4.5
132. Pasco,MICHELIN,"1,191 reviews","French, European",$$ - $$$,"“Cozy, cute, great food and music in the &e”",“Perfect little spot!”,4.5
133. La Dame de Pic,MICHELIN,998 reviews,"French, European",$$$$,“Nice open kitchen”,“A little too fancy for us”,4.0
134. Dessance,MICHELIN,524 reviews,"French, European",$$$$,“Highest quality food and service”,“Fabulous vegetarian meal”,4.5
